"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Comparative Analysis of ChatGPT, DeepSeek, and Gemini for Automated Code Generation","K. Shahzad; S. Iqbal","School of Electrical Engineering & Computer Science, National University of Sciences and Technology (NUST), Islamabad, Pakistan; School of Electrical Engineering & Computer Science, National University of Sciences and Technology (NUST), Islamabad, Pakistan",2025 18th International Conference on Engineering of Modern Electric Systems (EMES),"27 Jun 2025","2025","","","1","4","Code generation using artificial intelligence (AI) has revolutionized software development, providing automated coding solutions. This study conducts a systematic comparative analysis of three leading large language models (LLMs) such as ChatGPT (O1), DeepSeek (R1) and Gemini (2.0 Flash thinking), for Python code generation, evaluating their performance in correctness, code quality, and computational efficiency. Using a curated dataset of Codeforces programming problems that span various difficulty levels $(\mathbf{8 0 0 - 2 0 0 0}$ complexity), the research employs a rigorous evaluation framework that integrates online judge validation, static code analysis, and runtime profiling. The experimental results reveal that DeepSeek achieves comparatively higher correctness by consistently producing accepted solutions in fewer attempts, although its reasoning time increases with problem complexity. Gemini, on the other hand, is remarkably fast, delivering results in a fraction of the time, but its correctness deteriorates on more complex tasks. ChatGPT offers balanced performance with intermediate correctness and efficiency; however, it sometimes exhibits lower code quality. Overall, our findings underscore the inherent trade-offs between efficiency, accuracy, and quality in AI-generated code. The study provides actionable insights for developers, emphasizing the need to align model selection with project requirements, and contributes a replicable framework for future evaluations of AI code generation tools.","2836-9866","979-8-3315-2577-4","10.1109/EMES65692.2025.11045587","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11045587","Software Development;Artificial Intelligence;ChatGPT;DeepSeek;Gemini;Large Language Model","Hands;Codes;Systematics;Runtime;Large language models;Chatbots;Cognition;Complexity theory;Software development management;Python","","3","","12","IEEE","27 Jun 2025","29-30 May 2025","29-30 May 2025","IEEE","IEEE Conferences"
"Comparative Study of Code Generation by AI Models","A. Panthi; N. K. Sharma; A. Khanal; K. Sharma","CSE, JAIN Deemed to-be University, Bangalore, India; CSE, JAIN Deemed to-be University, Bangalore, India; CSE, JAIN Deemed to-be University, Bangalore, India; CSE, JAIN Deemed to-be University, Bangalore, India","2025 International Conference on Computational Robotics, Testing and Engineering Evaluation (ICCRTEE)","2 Jul 2025","2025","","","1","4","Artificial Intelligence has become integral part of modern software development as different AI assistants help write code, debug them and allow quick push to production. AI-based Code generation tools like: GitHub Copilot, OpenAI CodeX, ChatGPT, Codenine, etc are on the rise. However, these different AI models have various limitations such as high false positives and incorrect suggestions, incomplete code, security and vulnerability risks, ethical and license issues, and limited debugging abilities. In this paper, we perform comparative analysis of present AI-based code generation models and highlight their technical limitations based on fair performance metrics.","","979-8-3315-9709-2","10.1109/ICCRTEE64519.2025.11052899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11052899","AI code generation;automated code evaluation;code quality;GPT4;ChatGPT;Github Copilot","Codes;Computational modeling;Production;Licenses;Chatbots;Security;Artificial intelligence;Robots;Software development management;Testing","","","","18","IEEE","2 Jul 2025","28-30 May 2025","28-30 May 2025","IEEE","IEEE Conferences"
"AI-Assisted Coding: Evaluating the Effectiveness of ML Model Development Using ChatGPT","B. Okpe; S. Stefanova","Dept. of Science and Technology, University of Naples ""Parthenope"", Naples, Italy; Dept. of Computer Science, University of Ruse ""Angel Kanchev"", Ruse, Bulgaria","2025 6th International Conference on Communications, Information, Electronic and Energy Systems (CIEES)","25 Dec 2025","2025","","","1","5","This study compared manual and ChatGPT-assisted workflows in developing machine learning (ML) models to evaluate ChatGPT’s effectiveness. Two datasets were used for classification and regression. Also, two workflows, manual and ChatGPT-assisted with results showing identical performance, but less time taken for ChatGPT. These findings suggest that once human oversight is maintained, AI can be used to speed up machine learning model development and prototyping without a compromise to the accuracy of the models.","","979-8-3315-0119-8","10.1109/CIEES66347.2025.11300224","University of Ruse; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11300224","machine learning;model development;chatgpt-assisted coding;manual coding;artificial intelligence","Accuracy;Codes;Manuals;Machine learning;Chatbots;Encoding","","","","15","IEEE","25 Dec 2025","26-28 Nov. 2025","26-28 Nov. 2025","IEEE","IEEE Conferences"
"LLM Tools for Programming","M. Čerňanský; P. Hafner; I. D. Luptáková","Institute of Computer Technologies and Informatics, University of Ss. Cyril and Methodius, Trnava, Slovak Republic; Institute of Computer Technologies and Informatics, University of Ss. Cyril and Methodius, Trnava, Slovak Republic; Institute of Computer Technologies and Informatics, University of Ss. Cyril and Methodius, Trnava, Slovak Republic",2025 International Conference on Emerging eLearning Technologies and Applications (ICETA),"15 Dec 2025","2025","","","139","144","The rise of Large Language Model (LLM)– based tools such as ChatGPT, GitHub Copilot, Cursor, and GitHub Copilot Agent is transforming how software is developed. These tools function as intelligent collaborators, capable of generating code, explaining concepts, detecting bugs, and accelerating development workflows. As the software industry increasingly demands graduates who are proficient with modern development environments and tools, ranging from debuggers and version control systems to AI-driven assistants, it becomes essential to incorporate LLM-based tools into computer science education. This article summarizes the most prominent LLM-assisted programming tools. Through selected examples of programming problems, it demonstrates the practical applications of LLM-based assistants and agents. By engaging with these tools, computer science students can prepare for a future in which AI will be an integral part of professional software development.","","979-8-3315-7426-0","10.1109/ICETA67772.2025.11280153","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11280153","LLM;AI-assisted programming;GitHub Copilot;Cursor AI;GitHub Copilot Agent;AI in software development;programming education","Productivity;Codes;Large language models;Education;Software;Computer science education;Sustainable development;Programming profession;Software development management;Software engineering","","","","10","IEEE","15 Dec 2025","13-14 Nov. 2025","13-14 Nov. 2025","IEEE","IEEE Conferences"
"Automated Code Review Using Large Language Models at Ericsson: An Experience Report","S. Ramesh; J. Bose; H. Singh; A. Raghavan; S. R. Chowdhury; G. Sridhara; N. Saini; R. Britto","Ericsson, Bangalore, India; Ericsson, Bangalore, India; Ericsson, Bangalore, India; Ericsson, Bangalore, India; Ericsson, Bangalore, India; Ericsson, Bangalore, India; Ericsson, Bangalore, India; Ericsson, Bangalore, India",2025 IEEE International Conference on Software Maintenance and Evolution (ICSME),"31 Oct 2025","2025","","","602","607","Code review is one of the primary means of assuring the quality of released software along with testing and static analysis. However, code review requires experienced developers who may not always have the time to perform an in-depth review of code. Thus, automating code review can help alleviate the cognitive burden on experienced software developers allowing them to focus on their primary activities of writing code to add new features and fix bugs. In this paper, we describe our experience in using Large Language Models towards automating the code review process in Ericsson. We describe the development of a lightweight tool using LLMs and static program analysis. We then describe our preliminary experiments with experienced developers in evaluating our code review tool and the encouraging results.","2576-3148","979-8-3315-9587-6","10.1109/ICSME64153.2025.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11186082","code review;large language models;program analysis;automated code review;LLM;llama","Software maintenance;Codes;Reviews;Large language models;Computer bugs;Static analysis;Testing","","","","9","IEEE","31 Oct 2025","7-12 Sept. 2025","7-12 Sept. 2025","IEEE","IEEE Conferences"
"SOEN-101: Code Generation by Emulating Software Process Models Using Large Language Model Agents","F. Lin; D. J. Kim; T. -H. Chen","Software PErformance, Analysis, and Reliability (SPEAR) lab, Concordia University, Montreal, Canada; DePaul University, Chicago, USA; Software PErformance, Analysis, and Reliability (SPEAR) lab, Concordia University, Montreal, Canada",2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"23 Jun 2025","2025","","","1527","1539","Software process models are essential to facilitate collaboration and communication among software teams to solve complex development tasks. Inspired by these software engineering practices, we present FlowGen - a code generation framework that emulates software process models based on multiple Large Language Model (LLM) agents. We emulate three process models, FlowGenWaterfall, FlowGenTDD, and FlowGenScrum, by assigning LLM agents to embody roles (i.e., requirement engineer, architect, developer, tester, and scrum master) that correspond to everyday development activities and organize their communication patterns. The agents work collaboratively using chain-of-thought and prompt composition with continuous selfrefinement to improve the code quality. We use GPT3.5 as our underlying LLM and several baselines (RawGPT, CodeT, Reflexion) to evaluate code generation on four benchmarks: HumanEval, HumanEval-ET, MBPP, and MBPP-ET. Our findings show that FlowGenScrum excels compared to other process models, achieving a Pass@1 of 75.2, 65.5, 82.5, and 56.7 in HumanEval, HumanEval-ET, MBPP, and MBPP-ET, respectively (an average of 15% improvement overRawGPT). Compared with other state-of-the-art techniques, FlowGenScrum achieves a higher Pass@1 in MBPP compared to CodeT, with both outperforming Reflexion. Notably, integrating CodeT into FlowGenScrum resulted in statistically significant improvements, achieving the highest Pass@1 scores. Our analysis also reveals that the development activities impacted code smell and exception handling differently, with design and code review adding more exception handling and reducing code smells. Finally, FlowGen models maintain stable Pass@1 scores across GPT3.5 versions and temperature values, highlighting the effectiveness of software process models in enhancing the quality and stability of LLM-generated code.","1558-1225","979-8-3315-0569-1","10.1109/ICSE55347.2025.00140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029771","Large Language Model;Code Generation;Agents;Software Process Model","Codes;Reviews;Large language models;Benchmark testing;Software;Stability analysis;Standards;Thermal stability;Software engineering;Software development management","","7","","53","IEEE","23 Jun 2025","26 April-6 May 2025","26 April-6 May 2025","IEEE","IEEE Conferences"
"Heterogeneous Graph Learning for Code Reviewers Recommendation with LLM's Understanding","Y. Yao; X. Zheng","Project Management Department, Research Center, Chinalife Insurance Company Limited, Beijing, China; Project Management Department, Research Center, Chinalife Insurance Company Limited, Beijing, China","2025 5th International Conference on Artificial Intelligence, Big Data and Algorithms (CAIBDA)","9 Oct 2025","2025","","","928","932","In the era of distributed software development ecosystems featured by dynamic and continuous integration/continuous deployment (CI/CD) workflows, code review process has emerged as a significant quality assurance mechanism, where reviewers systematically inspect and annotate submitted source code to identify potential defects. This practice has gained substantial adoption across both industrial and opensource communities. However, the manual assignment of qualified code reviewers presents significant scalability challenges, particularly in large-scale software projects with exponentially growing code repositories. To overcome this limitation, we propose a novel heterogeneous graph neural network framework enhanced by Large Language Model (LLM) semantic understanding capabilities for automated reviewer recommendation, specifically optimized for code commit contexts.","","979-8-3315-2664-1","10.1109/CAIBDA65784.2025.11183380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11183380","Code Review Recommendation;Modern Code Review;Graph Neural Network;Heterogeneous Graph;Large Language Model","Codes;Quality assurance;Reviews;Large language models;Source coding;Scalability;Semantics;Graph neural networks;Software;Software development management","","","","26","IEEE","9 Oct 2025","20-22 June 2025","20-22 June 2025","IEEE","IEEE Conferences"
"Role-Aware Intelligent Agent Framework for Enhanced Code Generation Using Large Language Model","A. K. Roshan; M. Sughasiny","Department of MCA, School of Computer Applications, Dhanalakshmi Srinivasan University, Tiruchirappalli, India; Department of MCA, School of Computer Applications, Dhanalakshmi Srinivasan University, Tiruchirappalli, India","2025 International Conference on Communication, Computer, and Information Technology (IC3IT)","22 Jan 2026","2025","","","1","7","Generative AI tools play an important role in software development by helping programmers write and improve code. Existing LLM-based code generation method faced challenges in vague user prompts and inconsistent output quality. The proposed FLAN-LLMatic, a role-aware framework that supports code generation using large language models. The framework uses FLAN-T5 to guide prompt creation and task interpretation and divides the process into four stages such as role definition, demand optimization, code writing, and code review. Each stage assigns specific responsibilities to two language model instances, one acting as a programmer and the other as a reviewer. The intelligent agent improves vague user inputs and creates structured prompts that improve code accuracy and relevance. Evaluation on HumanEval and MBBP datasets shows strong performance in code quality, logical consistency, and security. The proposed FLAN-LLMatic framework helps to generate reliable code from natural language and adapts well to different domains. The proposed FLAN-LLMatic supports faster development and reduces the manual effort, making code generation more efficient and accessible for developers across various fields by achieving 9.7 and 9.8 of code quality score.","","979-8-3315-2483-8","10.1109/IC3IT66137.2025.11341145","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11341145","code generation;code quality;manual effort;prompt creation;task interpretation;vague user","Adaptation models;Codes;Reviews;Large language models;Natural languages;Manuals;Software reliability;Intelligent agents;Security;Software development management","","","","20","IEEE","22 Jan 2026","24-25 Oct. 2025","24-25 Oct. 2025","IEEE","IEEE Conferences"
"AI-Generated Code in Computer Science Education: Boon or Bane?","N. Bakir; L. Akkoumeh; H. Krayani; G. Dannaoui; A. El Chakik","Faculty of Science, Beirut Arab University, Beirut, Lebanon; Faculty of Business, Jinan University, Tripoli, Lebanon; Dept. of Higher Mathematics, SPbPU University, Saint Petersburg, Russia; Industrial Engineering and OR, École des Mines de Saint-Étienne, Saint-Étienne, France; Faculty of Science, Beirut Arab University, Beirut, Lebanon",2025 International Conference on Computer and Applications (ICCA),"17 Mar 2026","2025","","","1","4","Artificial Intelligence is increasingly shaping the scene in education. AI-code generation tools are contributing to Computer Science education with the promise to enhance efficiency and boost student engagement; but also pose challenges to achieving fundamental learning outcomes. This paper explores the dual impact of AI code generation, highlighting benefits like improved efficiency and motivation against drawbacks such as diminished problem-solving skills and a superficial understanding of concepts. The discussion emphasizes the need for thoughtful integration and the development of assessment methods that prioritize deep understanding alongside functionality. By balancing AI use with the cultivation of core coding skills, educators can prepare students to become proficient programmers who not only solve problems but also grasp the complexities of their solutions.","","979-8-3315-9953-9","10.1109/ICCA66035.2025.11430792","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11430792","Artificial Intelligence;Educational technology;AI-generated code;Critical thinking;Data analysis","Ethics;Codes;Data analysis;Learning (artificial intelligence);Educational technology;Encoding;Computer science education;Problem-solving;Artificial intelligence;Creativity","","","","14","IEEE","17 Mar 2026","22-24 Dec. 2025","22-24 Dec. 2025","IEEE","IEEE Conferences"
"LLM-Powered Code Quality Bot: Automating Refactoring in CI/CD","A. Adem; G. Melo","Toronto Metropolitan University, Toronto, Canada; Toronto Metropolitan University, Toronto, Canada",2025 IEEE International Conference on Collaborative Advances in Software and COmputiNg (CASCON),"23 Jan 2026","2025","","","595","596","Code quality issues, such as code smells and minor bugs, consume valuable developer time and can slow down software delivery pipelines. This poster presents SonaRefactor, an AI-assisted CI/CD pipeline that merges SonarCloud static analysis with Gemini LLM to automatically summarize flagged issues and propose safe, minimal code fixes. When a pull request is opened, the bot automatically detects issues, explains them in context, and generates a minimal safe autofix that is committed back as a new pull request. This work demonstrates how large language models can act as hands-on teammates in software development pipelines, offloading repetitive refactoring tasks so developers can focus on more complex and creative aspects of software engineering. Our tool minimizes developer interruption by enforcing conservative, auditable changes that reduce friction in the review process, without compromising safety or autonomy.","","979-8-3315-9948-5","10.1109/CASCON66301.2025.00101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11344175","Software Engineering;automated refactoring;large language models;code quality;developer productivity","Codes;Reviews;Large language models;Pipelines;Static analysis;Chatbots;Software;Safety;Software engineering;Software development management","","","","2","IEEE","23 Jan 2026","10-13 Nov. 2025","10-13 Nov. 2025","IEEE","IEEE Conferences"
